id,salary
813,ab 90.000€
814,90000-110000
815,55.000 - 65.000
816,55000 - 65000
817,tbd
818,50000-60000
819,60k - 65k
820,"66-68,000€"
821,65 k 
822,"45,000 - 55,000"
823,50.000 - 70.000
824,"55,000-70,000"
825,55000
826,EUR 65.000 - 80.000
827,"63,000€"
828,negotiable
829,50.000 - 55.000
830,ab 71.000€
831,75000-120000
832,50-80000
833,EUR 60.000 - 100.000
834,48.000 - 72.000
835,"60,000"
836,28.000 - 40.000
837,60.000
838,50000-75000
839,tbd
840,€70k
841,60.000€ - 75.000 €
842,50.000 - 80.000€
843,85000-90000
844,65.000-75.000
845,"80,000"
846,50000 - 60000
847,80 000
848,100.000+
849,"40,000€"
850,75000-120000
851,62k - 68k
852,62k - 67k
853,45.000 - 55.000
854,70.000
855,50
856,"55,000€"
857,35.0000 - 40.000
858,"65,000 €"
859,50.000 - 85.000€
860,65.000 - 70.000
861,70.000 EUR 
862,"55,000-80,000"
863,65000 - 75000
864,45000-55000
865,70000-75000
866,"€80,000-€90,000"
867,40.000 - 50.000€
868,50.000€
869,45000
870,75000-120000
871,"45,000 EUR"
872,"30,000 - 35,000"
873,>55000
874,50.000
875,negotiable
876,75000-83000
877,45000
878,"93,000+"
879,82000
880,55000 - 80000
881,>75000
882,55000 - 70000
883,30000-52000
884,70000
885,70 - 80k
886,€75.000 - €90.000
887,55.000 € - 90.000 €
888,40000 - 60000
889,€
890,40000 - 60000
891,60000 - 70000
892,60000
893,"80,000"
894,"€50,000 - €75,000"
895,50k
896,50000 - 65000€
897,90000 - 100000
898,>70.000 EUR
899,40.000- 50.000
900,60-70k
901,50.000€ - 60.000€
902,60000
903,70000
904,60000-70000
905,50.000-60.000€
906,"€65,000-€75,000"
907,"40,000€-70,000€"
908,60.000
909,40 000 - 60 000
910,45000
911,"40,000 - 60,000 €"
912,"50,000 - 60,000"
913,50.000-60.000
914,50000 - 70000
915,70000 €- 80000 €
916,55000
917,up to 70.000/year
918,65.000 - 70.000 €
919,TBD
920,60.000 EUR
921,ca. 75.000
922,55.000€
923,90.000
924,75000-85000
925,66.500
926,65.000 EUR 
927,"50,000 - 55,000 €"
928,"50,000-70,000 EUR"
929,70000
930,"47,000 to 50,000Eur"
931,"49,000€ - 54,000€"
932,"50,000"
933,€30-55k
934,50-60.000 €
935,"90,000 - 100,000"
936,50.000€ - 65.000€
937,65.000€ - 75.000€
938,70.000€-90.000€
939,86.500€
940,63.000-65.000
941,TBD
942,"65,000-75,000"
943,"40,000 - 65,000€"
944,40.000 - 80.000
945,50.000 - 60.000
946,55.000-65.000
947,45.000 - 55.000
948,45000
949,"55,000-65,000"
950,75000-120000
951,65-75 k
952,"55,000 - 65,000€"
953,50000
954,65000
955,75000 - 120000
956,"€75,000"
957,€80000
958,negotiable
959,50.000€ - 65.000€
960,75k EUR
961,80000
962,"65,000 - 75,000 €"
963,80.000€
